"MatchingRule","Record1Identifier","Record2Identifier","TotalSimilarity","IsMatch","[0] GamesYearComparator5Years record1Value","[0] GamesYearComparator5Years record2Value","[0] GamesYearComparator5Years record1PreprocessedValue","[0] GamesYearComparator5Years record2PreprocessedValue","[0] GamesYearComparator5Years similarity","[0] GamesYearComparator5Years postproccesedSimilarity","[1] GamesTitleComparatorJaccard record1Value","[1] GamesTitleComparatorJaccard record2Value","[1] GamesTitleComparatorJaccard record1PreprocessedValue","[1] GamesTitleComparatorJaccard record2PreprocessedValue","[1] GamesTitleComparatorJaccard similarity","[1] GamesTitleComparatorJaccard postproccesedSimilarity"
"LinearCombinationMatchingRule","sales_13516","wiki_38987","0.0",,"2009-01-01T01:01:01.000000001","2019-01-01T01:01:01.000000001","2009-01-01T01:01:01.000000001","2019-01-01T01:01:01.000000001","0.0","0.0","Coraline","Control","coraline","control","0.0","0.0"
"LinearCombinationMatchingRule","sales_1626","wiki_35967","0.0",,"2009-01-01T01:01:01.000000001","1990-01-01T01:01:01.000000001","2009-01-01T01:01:01.000000001","1990-01-01T01:01:01.000000001","0.0","0.0","Bayonetta","BatMUD","bayonetta","batmud","0.0","0.0"
"LinearCombinationMatchingRule","sales_4700","wiki_33390","0.0",,"1995-01-01T01:01:01.000000001","2002-01-01T01:01:01.000000001","1995-01-01T01:01:01.000000001","2002-01-01T01:01:01.000000001","0.0","0.0","Mobile Suit Gundam","Mobile Suit Gundam: Lost War Chronicles","mobile suit gundam","mobile suit gundam: lost war chronicles","0.5","0.0"
"LinearCombinationMatchingRule","sales_12630","wiki_30283","0.3",,"2006-01-01T01:01:01.000000001","2006-01-01T01:01:01.000000001","2006-01-01T01:01:01.000000001","2006-01-01T01:01:01.000000001","1.0","1.0","The Fast and the Furious","The Fast and the Furious","the fast and the furious","the fast and the furious","1.0","0.0"
"LinearCombinationMatchingRule","sales_8935","wiki_45860","0.24",,"2009-01-01T01:01:01.000000001","2010-01-01T01:01:01.000000001","2009-01-01T01:01:01.000000001","2010-01-01T01:01:01.000000001","0.8","0.8","NHL 2K10","NHL 2K11","nhl 2k10","nhl 2k11","0.6","0.0"
"LinearCombinationMatchingRule","sales_10212","wiki_47873","0.0",,"2010-01-01T01:01:01.000000001","1982-01-01T01:01:01.000000001","2010-01-01T01:01:01.000000001","1982-01-01T01:01:01.000000001","0.0","0.0","Split/Second","Spacechase","split/second","spacechase","0.0","0.0"
"LinearCombinationMatchingRule","sales_7490","wiki_43526","0.0",,"2005-01-01T01:01:01.000000001","1996-01-01T01:01:01.000000001","2005-01-01T01:01:01.000000001","1996-01-01T01:01:01.000000001","0.0","0.0","Dragon Ball Z: Sagas","Dragon Ball Z: Idainaru Dragon Ball Densetsu","dragon ball z: sagas","dragon ball z: idainaru dragon ball densetsu","0.5","0.0"
"LinearCombinationMatchingRule","sales_12792","wiki_34351","0.0",,"2009-01-01T01:01:01.000000001","1983-01-01T01:01:01.000000001","2009-01-01T01:01:01.000000001","1983-01-01T01:01:01.000000001","0.0","0.0","Coraline","Confrontation","coraline","confrontation","0.0","0.0"
"LinearCombinationMatchingRule","sales_14846","wiki_51995","0.0",,"2004-01-01T01:01:01.000000001","1983-01-01T01:01:01.000000001","2004-01-01T01:01:01.000000001","1983-01-01T01:01:01.000000001","0.0","0.0","Bookworm","Bonka","bookworm","bonka","0.0","0.0"
"LinearCombinationMatchingRule","sales_9722","wiki_22985","0.0",,"2008-01-01T01:01:01.000000001","1994-01-01T01:01:01.000000001","2008-01-01T01:01:01.000000001","1994-01-01T01:01:01.000000001","0.0","0.0","The King of Fighters '98 Ultimate Match","The King of Fighters '94","the king of fighters '98 ultimate match","the king of fighters '94","0.5","0.0"
"LinearCombinationMatchingRule","sales_13715","wiki_31687","0.3",,"2006-01-01T01:01:01.000000001","2006-01-01T01:01:01.000000001","2006-01-01T01:01:01.000000001","2006-01-01T01:01:01.000000001","1.0","1.0","OutRun 2006: Coast 2 Coast","OutRun 2006: Coast 2 Coast","outrun 2006: coast 2 coast","outrun 2006: coast 2 coast","1.0","0.0"
"LinearCombinationMatchingRule","sales_8743","wiki_51321","0.0",,"2009-01-01T01:01:01.000000001","1996-01-01T01:01:01.000000001","2009-01-01T01:01:01.000000001","1996-01-01T01:01:01.000000001","0.0","0.0","Stormrise","Strife","stormrise","strife","0.0","0.0"
"LinearCombinationMatchingRule","sales_3473","wiki_45980","0.0",,"2005-01-01T01:01:01.000000001","0001-01-01T01:01:01.000000001","2005-01-01T01:01:01.000000001","0001-01-01T01:01:01.000000001","0.0","0.0","Prince of Persia: The Two Thrones","Prince of Persia Classic","prince of persia: the two thrones","prince of persia classic","0.42857142857142855","0.0"
"LinearCombinationMatchingRule","sales_661","wiki_21448","0.3",,"2015-01-01T01:01:01.000000001","2015-01-01T01:01:01.000000001","2015-01-01T01:01:01.000000001","2015-01-01T01:01:01.000000001","1.0","1.0","Bloodborne","Bloodborne","bloodborne","bloodborne","1.0","0.0"
"LinearCombinationMatchingRule","sales_12713","wiki_33953","0.12",,"2006-01-01T01:01:01.000000001","2003-01-01T01:01:01.000000001","2006-01-01T01:01:01.000000001","2003-01-01T01:01:01.000000001","0.4","0.4","Tom Clancy's Splinter Cell: Double Agent","Tom Clancys Splinter Cell: Team Stealth Action","tom clancy's splinter cell: double agent","tom clancys splinter cell: team stealth action","0.2727272727272727","0.0"
"LinearCombinationMatchingRule","sales_3512","wiki_51734","0.0",,"2002-01-01T01:01:01.000000001","2020-01-01T01:01:01.000000001","2002-01-01T01:01:01.000000001","2020-01-01T01:01:01.000000001","0.0","0.0","Tony Hawk's Pro Skater 4","Tony Hawk's Pro Skater 1 + 2","tony hawk's pro skater 4","tony hawk's pro skater 1 + 2","0.625","0.0"
"LinearCombinationMatchingRule","sales_12558","wiki_17760","0.0",,"2012-01-01T01:01:01.000000001","1993-01-01T01:01:01.000000001","2012-01-01T01:01:01.000000001","1993-01-01T01:01:01.000000001","0.0","0.0","JoJo's Bizarre Adventure: All Star Battle","JoJo's Bizarre Adventure","jojo's bizarre adventure: all star battle","jojo's bizarre adventure","0.5714285714285714","0.0"
"LinearCombinationMatchingRule","sales_979","wiki_17230","0.0",,"2013-01-01T01:01:01.000000001","2007-01-01T01:01:01.000000001","2013-01-01T01:01:01.000000001","2007-01-01T01:01:01.000000001","0.0","0.0","The Legend of Zelda: The Wind Waker","The Legend of Sword and Fairy 4","the legend of zelda: the wind waker","the legend of sword and fairy 4","0.3","0.0"
"LinearCombinationMatchingRule","sales_12006","wiki_20143","0.0",,"2016-01-01T01:01:01.000000001","0001-01-01T01:01:01.000000001","2016-01-01T01:01:01.000000001","0001-01-01T01:01:01.000000001","0.0","0.0","Battleborn","Bastardâ€¼","battleborn","bastardâ€¼","0.0","0.0"
"LinearCombinationMatchingRule","sales_14338","wiki_21167","0.0",,"1995-01-01T01:01:01.000000001","2012-01-01T01:01:01.000000001","1995-01-01T01:01:01.000000001","2012-01-01T01:01:01.000000001","0.0","0.0","Rampo","Ravaged","rampo","ravaged","0.0","0.0"
"LinearCombinationMatchingRule","sales_13401","wiki_47100","0.0",,"2010-01-01T01:01:01.000000001","2003-01-01T01:01:01.000000001","2010-01-01T01:01:01.000000001","2003-01-01T01:01:01.000000001","0.0","0.0","Rock of the Dead","Romance of the Three Kingdoms IX","rock of the dead","romance of the three kingdoms ix","0.25","0.0"
"LinearCombinationMatchingRule","sales_4726","wiki_43501","0.0",,"1997-01-01T01:01:01.000000001","2010-01-01T01:01:01.000000001","1997-01-01T01:01:01.000000001","2010-01-01T01:01:01.000000001","0.0","0.0","Command & Conquer: Red Alert","Command & Conquer 4: Tiberian Twilight","command & conquer: red alert","command & conquer 4: tiberian twilight","0.2857142857142857","0.0"
"LinearCombinationMatchingRule","sales_8092","wiki_44911","0.0",,"2004-01-01T01:01:01.000000001","2018-01-01T01:01:01.000000001","2004-01-01T01:01:01.000000001","2018-01-01T01:01:01.000000001","0.0","0.0","Mega Man X: Command Mission","Mega Man X: Legacy Collection 2","mega man x: command mission","mega man x: legacy collection 2","0.375","0.0"
"LinearCombinationMatchingRule","sales_7383","wiki_47041","0.0",,"0000-01-01T01:01:01.000000001","2002-01-01T01:01:01.000000001","0000-01-01T01:01:01.000000001","2002-01-01T01:01:01.000000001","0.0","0.0","Robotech: Battlecry","Robotech: Battlecry","robotech: battlecry","robotech: battlecry","1.0","0.0"
"LinearCombinationMatchingRule","sales_1143","wiki_35952","0.0",,"1989-01-01T01:01:01.000000001","0001-01-01T01:01:01.000000001","1989-01-01T01:01:01.000000001","0001-01-01T01:01:01.000000001","0.0","0.0","Baseball","Baseball","baseball","baseball","1.0","0.0"
"LinearCombinationMatchingRule","sales_10693","wiki_19230","0.18",,"2010-01-01T01:01:01.000000001","2008-01-01T01:01:01.000000001","2010-01-01T01:01:01.000000001","2008-01-01T01:01:01.000000001","0.6","0.6","Warhammer 40,000: Dawn of War II - Chaos Rising","Warhammer 40,000: Dawn of War â€“ Soulstorm","warhammer 40,000: dawn of war ii - chaos rising","warhammer 40,000: dawn of war â€“ soulstorm","0.5454545454545454","0.0"
"LinearCombinationMatchingRule","sales_12921","wiki_27170","0.0",,"2009-01-01T01:01:01.000000001","1981-01-01T01:01:01.000000001","2009-01-01T01:01:01.000000001","1981-01-01T01:01:01.000000001","0.0","0.0","Venetica","Venture","venetica","venture","0.0","0.0"
"LinearCombinationMatchingRule","sales_4227","wiki_35510","0.0",,"2008-01-01T01:01:01.000000001","1986-01-01T01:01:01.000000001","2008-01-01T01:01:01.000000001","1986-01-01T01:01:01.000000001","0.0","0.0","The Legend of Spyro: Dawn of the Dragon","The Legend of Sinbad","the legend of spyro: dawn of the dragon","the legend of sinbad","0.42857142857142855","0.0"
"LinearCombinationMatchingRule","sales_9388","wiki_22450","0.0",,"2010-01-01T01:01:01.000000001","2015-01-01T01:01:01.000000001","2010-01-01T01:01:01.000000001","2015-01-01T01:01:01.000000001","0.0","0.0","Venetica","Verdun","venetica","verdun","0.0","0.0"
"LinearCombinationMatchingRule","sales_881","wiki_25818","0.0",,"1989-01-01T01:01:01.000000001","2016-01-01T01:01:01.000000001","1989-01-01T01:01:01.000000001","2016-01-01T01:01:01.000000001","0.0","0.0","Alleyway","Alienation","alleyway","alienation","0.0","0.0"
"LinearCombinationMatchingRule","sales_2450","wiki_25318","0.18",,"2000-01-01T01:01:01.000000001","1998-01-01T01:01:01.000000001","2000-01-01T01:01:01.000000001","1998-01-01T01:01:01.000000001","0.6","0.6","Street Fighter EX3","Street Fighter EX2","street fighter ex3","street fighter ex2","0.6","0.0"
"LinearCombinationMatchingRule","sales_8020","wiki_25680","0.0",,"1997-01-01T01:01:01.000000001","2006-01-01T01:01:01.000000001","1997-01-01T01:01:01.000000001","2006-01-01T01:01:01.000000001","0.0","0.0","Dead or Alive","Dead or Alive Xtreme 2","dead or alive","dead or alive xtreme 2","0.6","0.0"
"LinearCombinationMatchingRule","sales_2207","wiki_27711","0.0",,"2009-01-01T01:01:01.000000001","2016-01-01T01:01:01.000000001","2009-01-01T01:01:01.000000001","2016-01-01T01:01:01.000000001","0.0","0.0","Bayonetta","Battlerite","bayonetta","battlerite","0.0","0.0"
"LinearCombinationMatchingRule","sales_5869","wiki_28724","0.0",,"1994-01-01T01:01:01.000000001","2015-01-01T01:01:01.000000001","1994-01-01T01:01:01.000000001","2015-01-01T01:01:01.000000001","0.0","0.0","Decathlete","Deathtrap","decathlete","deathtrap","0.0","0.0"
"LinearCombinationMatchingRule","sales_12415","wiki_48081","0.0",,"2009-01-01T01:01:01.000000001","1997-01-01T01:01:01.000000001","2009-01-01T01:01:01.000000001","1997-01-01T01:01:01.000000001","0.0","0.0","Steins;Gate","Starsweep","steins;gate","starsweep","0.0","0.0"
"LinearCombinationMatchingRule","sales_16210","wiki_45078","0.0",,"2003-01-01T01:01:01.000000001","0001-01-01T01:01:01.000000001","2003-01-01T01:01:01.000000001","0001-01-01T01:01:01.000000001","0.0","0.0","Freekstyle","FreeJack","freekstyle","freejack","0.0","0.0"
"LinearCombinationMatchingRule","sales_16321","wiki_32488","0.0",,"2006-01-01T01:01:01.000000001","1979-01-01T01:01:01.000000001","2006-01-01T01:01:01.000000001","1979-01-01T01:01:01.000000001","0.0","0.0","Tringo","Trek-80","tringo","trek-80","0.0","0.0"
"LinearCombinationMatchingRule","sales_5609","wiki_25211","0.24",,"2008-01-01T01:01:01.000000001","2007-01-01T01:01:01.000000001","2008-01-01T01:01:01.000000001","2007-01-01T01:01:01.000000001","0.8","0.8","The Legend of Spyro: Dawn of the Dragon","The Legend of Spyro: The Eternal Night","the legend of spyro: dawn of the dragon","the legend of spyro: the eternal night","0.5","0.0"
"LinearCombinationMatchingRule","sales_7690","wiki_35929","0.0",,"2008-01-01T01:01:01.000000001","2003-01-01T01:01:01.000000001","2008-01-01T01:01:01.000000001","2003-01-01T01:01:01.000000001","0.0","0.0","Barbie Horse Adventures: Riding Camp","Barbie Horse Adventures: Mystery Ride","barbie horse adventures: riding camp","barbie horse adventures: mystery ride","0.42857142857142855","0.0"
